"","Colony","Distance","Mass","Headwidth","Headwidth..mm.","Size.class"
"137",2,4,50,12,1.516,"35-39"
"138",2,4,133,24,1.979,">43"
"139",2,4,74,20,1.811,"40-43"
"140",2,4,140,24,1.979,">43"
"141",2,4,77,13,1.558,"35-39"
"142",2,4,137,23,1.937,">43"
"143",2,4,94,15,1.642,"35-39"
"144",2,7,79,15,1.642,"35-39"
"145",2,7,105,19,1.768,"40-43"
"146",2,7,104,19,1.768,"40-43"
"147",2,7,99,20,1.811,"40-43"
"148",2,7,67,11,1.474,"35-39"
"149",2,7,129,23,1.937,">43"
"150",2,7,97,13,1.558,"35-39"
"151",2,7,126,22,1.895,">43"
"152",2,7,152,23,1.937,">43"
"153",2,7,67,10,1.432,"30-34"
"154",2,7,60,10,1.432,"30-34"
"155",2,7,94,16,1.684,"40-43"
"156",2,7,128,23,1.937,">43"
"157",2,7,101,20,1.811,"40-43"
"158",2,7,44,7,1.305,"30-34"
"159",2,7,119,22,1.895,">43"
"160",2,7,117,22,1.895,">43"
"161",2,7,80,16,1.684,"40-43"
"162",2,7,78,15,1.642,"35-39"
"163",2,7,54,7,1.305,"30-34"
"164",2,7,99,22,1.895,">43"
"165",2,10,137,21,1.853,">43"
"166",2,10,120,19,1.768,"40-43"
"167",2,10,107,19,1.768,"40-43"
"168",2,10,98,20,1.811,"40-43"
"169",2,10,97,22,1.895,">43"
"170",2,10,55,20,1.811,"40-43"
"171",2,10,96,16,1.684,"40-43"
"172",2,10,118,20,1.811,"40-43"
"173",2,10,73,15,1.642,"35-39"
"174",2,10,102,20,1.811,"40-43"
"175",2,10,103,21,1.853,">43"
"176",2,10,97,22,1.895,">43"
"177",2,10,96,20,1.811,"40-43"
"178",2,10,81,19,1.768,"40-43"
"179",2,10,114,19,1.768,"40-43"
"180",2,10,143,24,1.979,">43"
"181",2,10,52,6,1.263,"30-34"
"182",2,10,83,20,1.811,"40-43"
"183",2,10,76,13,1.558,"35-39"
"184",2,10,141,22,1.895,">43"
"185",2,10,99,16,1.684,"40-43"
"186",2,10,154,25,2.021,">43"
"187",2,10,109,19,1.768,"40-43"
"188",10,1,123,20,1.811,"40-43"
"189",10,1,119,20,1.811,"40-43"
"190",10,1,125,23,1.937,">43"
"191",10,1,87,14,1.6,"35-39"
"192",10,1,168,25,2.021,">43"
"193",10,1,111,22,1.895,">43"
"194",10,1,64,11,1.474,"35-39"
"195",10,1,74,11,1.474,"35-39"
"196",10,1,79,14,1.6,"35-39"
"197",10,1,91,17,1.726,"40-43"
"198",10,1,117,21,1.853,">43"
"199",10,1,145,24,1.979,">43"
"200",10,1,108,16,1.684,"40-43"
"201",10,1,112,22,1.895,">43"
"202",10,1,62,15,1.642,"35-39"
"203",10,1,140,20,1.811,"40-43"
"204",10,1,144,23,1.937,">43"
"205",10,1,172,17,1.726,"40-43"
"206",10,1,38,6,1.263,"30-34"
"207",10,1,147,20,1.811,"40-43"
"208",10,4,123,22,1.895,">43"
"209",10,4,73,11,1.474,"35-39"
"210",10,4,139,23,1.937,">43"
"211",10,4,77,12,1.516,"35-39"
"212",10,4,98,19,1.768,"40-43"
"213",10,4,69,11,1.474,"35-39"
"214",10,4,91,17,1.726,"40-43"
"215",10,4,119,23,1.937,">43"
"216",10,4,109,21,1.853,">43"
"217",10,4,103,20,1.811,"40-43"
"218",10,4,99,19,1.768,"40-43"
"219",10,4,108,20,1.811,"40-43"
"220",10,4,57,10,1.432,"30-34"
"221",10,4,97,14,1.6,"35-39"
"222",10,4,81,11,1.474,"35-39"
"223",10,4,106,19,1.768,"40-43"
"224",10,4,124,23,1.937,">43"
"225",10,4,86,17,1.726,"40-43"
"226",10,4,86,19,1.768,"40-43"
"227",10,4,66,9,1.389,"30-34"
"228",10,4,82,13,1.558,"35-39"
"229",10,7,105,17,1.726,"40-43"
"230",10,7,66,15,1.642,"35-39"
"231",10,7,97,17,1.726,"40-43"
"232",10,7,59,9,1.389,"30-34"
"233",10,7,108,20,1.811,"40-43"
"234",10,7,109,17,1.726,"40-43"
"235",10,7,115,21,1.853,">43"
"236",10,7,112,19,1.768,"40-43"
"237",10,7,69,11,1.474,"35-39"
"238",10,7,80,15,1.642,"35-39"
"239",10,7,103,19,1.768,"40-43"
"240",10,7,104,22,1.895,">43"
"241",10,7,119,22,1.895,">43"
"242",10,7,126,20,1.811,"40-43"
"243",10,7,74,11,1.474,"35-39"
"244",10,7,107,19,1.768,"40-43"
"245",10,7,120,19,1.768,"40-43"
"246",10,7,111,17,1.726,"40-43"
"247",10,7,54,8,1.347,"30-34"
"248",10,7,109,22,1.895,">43"
"249",10,7,127,22,1.895,">43"
"250",10,7,99,17,1.726,"40-43"
"251",10,7,90,17,1.726,"40-43"
"252",10,7,103,20,1.811,"40-43"
"253",10,7,165,24,1.979,">43"
"254",10,7,83,13,1.558,"35-39"
"255",10,7,121,23,1.937,">43"
"256",10,7,80,14,1.6,"35-39"
"257",10,7,83,15,1.642,"35-39"
"258",10,7,111,20,1.811,"40-43"
"259",10,7,110,20,1.811,"40-43"
"260",10,7,69,11,1.474,"35-39"
"261",10,7,125,20,1.811,"40-43"
"262",10,7,104,17,1.726,"40-43"
"263",10,7,117,21,1.853,">43"
"264",10,10,123,21,1.853,">43"
"265",10,10,114,22,1.895,">43"
"266",10,10,132,22,1.895,">43"
"267",10,10,112,21,1.853,">43"
"268",10,10,104,17,1.726,"40-43"
"269",10,10,100,21,1.853,">43"
"270",10,10,72,19,1.768,"40-43"
"271",10,10,88,19,1.768,"40-43"
"272",10,10,57,14,1.6,"35-39"
"273",10,10,82,19,1.768,"40-43"
"274",10,10,79,16,1.684,"40-43"
"275",10,10,83,20,1.811,"40-43"
"276",10,10,68,13,1.558,"35-39"
"277",10,10,111,23,1.937,">43"
"278",10,10,68,11,1.474,"35-39"
"279",10,10,105,15,1.642,"35-39"
"280",10,10,98,15,1.642,"35-39"
"281",10,10,99,17,1.726,"40-43"
"282",10,10,145,22,1.895,">43"
"283",10,10,97,19,1.768,"40-43"
"284",10,10,133,19,1.768,"40-43"
"285",10,10,93,20,1.811,"40-43"
"286",10,10,121,22,1.895,">43"
"287",11,1,70,13,1.558,"35-39"
"288",11,1,81,16,1.684,"40-43"
"289",11,1,127,23,1.937,">43"
"290",11,1,110,20,1.811,"40-43"
"291",11,1,61,6,1.263,"30-34"
"292",11,1,144,23,1.937,">43"
"293",11,1,150,16,1.684,"40-43"
"294",11,1,94,16,1.684,"40-43"
"295",11,1,136,16,1.684,"40-43"
"296",11,1,176,19,1.768,"40-43"
"297",11,1,39,2,1.095,"<30"
"298",11,1,91,13,1.558,"35-39"
"299",11,1,152,19,1.768,"40-43"
"300",11,1,39,3,1.137,"<30"
"301",11,1,93,14,1.6,"35-39"
"302",11,1,71,9,1.389,"30-34"
"303",11,1,90,15,1.642,"35-39"
"304",11,1,114,20,1.811,"40-43"
"305",11,1,40,2,1.095,"<30"
"306",11,1,145,22,1.895,">43"
"307",11,1,40,4,1.179,"<30"
"308",11,1,126,22,1.895,">43"
"309",11,1,106,16,1.684,"40-43"
"310",11,4,84,13,1.558,"35-39"
"311",11,4,72,16,1.684,"40-43"
"312",11,4,122,22,1.895,">43"
"313",11,4,119,24,1.979,">43"
"314",11,4,65,12,1.516,"35-39"
"315",11,4,69,13,1.558,"35-39"
"316",11,4,106,17,1.726,"40-43"
"317",11,4,89,14,1.6,"35-39"
"318",11,4,93,16,1.684,"40-43"
"319",11,4,96,16,1.684,"40-43"
"320",11,4,99,19,1.768,"40-43"
"321",11,4,95,17,1.726,"40-43"
"322",11,4,109,21,1.853,">43"
"323",11,4,82,15,1.642,"35-39"
"324",11,4,94,14,1.6,"35-39"
"325",11,4,106,14,1.6,"35-39"
"326",11,4,120,17,1.726,"40-43"
"327",11,4,29,1,1.053,"<30"
"328",11,4,109,16,1.684,"40-43"
"329",11,4,95,19,1.768,"40-43"
"330",11,4,66,11,1.474,"35-39"
"331",11,4,43,2,1.095,"<30"
"332",11,4,81,16,1.684,"40-43"
"333",11,4,48,8,1.347,"30-34"
"334",11,4,45,7,1.305,"30-34"
"335",11,7,102,17,1.726,"40-43"
"336",11,7,130,19,1.768,"40-43"
"337",11,7,104,19,1.768,"40-43"
"338",11,7,104,22,1.895,">43"
"339",11,7,99,14,1.6,"35-39"
"340",11,7,92,19,1.768,"40-43"
"341",11,7,79,13,1.558,"35-39"
"342",11,7,66,11,1.474,"35-39"
"343",11,7,123,23,1.937,">43"
"344",11,7,76,16,1.684,"40-43"
"345",11,7,52,10,1.432,"30-34"
"346",11,7,67,11,1.474,"35-39"
"347",11,7,110,20,1.811,"40-43"
"348",11,7,74,14,1.6,"35-39"
"349",11,7,59,13,1.558,"35-39"
"350",11,7,91,19,1.768,"40-43"
"351",11,7,54,13,1.558,"35-39"
"352",11,7,112,17,1.726,"40-43"
"353",11,7,127,22,1.895,">43"
"354",11,7,107,22,1.895,">43"
"355",11,7,115,23,1.937,">43"
"356",11,7,90,19,1.768,"40-43"
"357",11,7,56,10,1.432,"30-34"
"358",11,7,137,23,1.937,">43"
"359",11,7,106,21,1.853,">43"
"360",11,10,53,9,1.389,"30-34"
"361",11,10,89,16,1.684,"40-43"
"362",11,10,95,17,1.726,"40-43"
"363",11,10,78,13,1.558,"35-39"
"364",11,10,50,9,1.389,"30-34"
"365",11,10,52,9,1.389,"30-34"
"366",11,10,90,17,1.726,"40-43"
"367",11,10,136,22,1.895,">43"
"368",11,10,100,17,1.726,"40-43"
"369",11,10,116,17,1.726,"40-43"
"370",11,10,38,4,1.179,"<30"
"371",11,10,113,22,1.895,">43"
"372",11,10,89,14,1.6,"35-39"
"373",11,10,48,8,1.347,"30-34"
"374",11,10,106,19,1.768,"40-43"
"375",11,10,108,17,1.726,"40-43"
"376",11,10,86,13,1.558,"35-39"
"377",11,10,110,19,1.768,"40-43"
"378",11,10,90,14,1.6,"35-39"
"379",11,10,94,16,1.684,"40-43"
"380",11,10,28,2,1.095,"<30"
"381",11,10,116,23,1.937,">43"
"382",11,10,78,14,1.6,"35-39"
"383",11,10,116,17,1.726,"40-43"
"384",11,10,70,11,1.474,"35-39"
"385",11,10,99,14,1.6,"35-39"
"386",11,10,118,20,1.811,"40-43"
"387",11,10,103,17,1.726,"40-43"
"388",11,10,114,23,1.937,">43"
"389",11,10,98,20,1.811,"40-43"
"390",11,10,61,11,1.474,"35-39"
"391",11,10,77,13,1.558,"35-39"
"392",11,10,53,8,1.347,"30-34"
"393",11,10,132,22,1.895,">43"
"394",11,10,98,19,1.768,"40-43"
"395",1,0,163,23,1.937,">43"
"396",1,0,102,15,1.642,"35-39"
"397",1,0,144,25,2.021,">43"
"398",1,0,115,20,1.811,"40-43"
"399",1,0,108,20,1.811,"40-43"
"400",1,0,68,10,1.432,"30-34"
"401",1,0,107,19,1.768,"40-43"
"402",1,0,141,19,1.768,"40-43"
"403",1,0,111,19,1.768,"40-43"
"404",1,0,55,8,1.347,"30-34"
"405",1,0,112,19,1.768,"40-43"
"406",1,0,100,15,1.642,"35-39"
"407",2,0,116,20,1.811,"40-43"
"408",2,0,71,11,1.474,"35-39"
"409",2,0,146,23,1.937,">43"
"410",2,0,119,22,1.895,">43"
"411",2,0,97,19,1.768,"40-43"
"412",2,0,43,6,1.263,"30-34"
"413",2,0,127,22,1.895,">43"
"414",2,0,106,20,1.811,"40-43"
"415",2,0,79,11,1.474,"35-39"
"416",2,0,127,22,1.895,">43"
"417",2,0,114,21,1.853,">43"
"418",2,0,85,16,1.684,"40-43"
"419",10,0,90,16,1.684,"40-43"
"420",10,0,122,23,1.937,">43"
"421",10,0,113,21,1.853,">43"
"422",10,0,47,6,1.263,"30-34"
"423",10,0,125,22,1.895,">43"
"424",10,0,88,16,1.684,"40-43"
"425",10,0,122,20,1.811,"40-43"
"426",10,0,80,13,1.558,"35-39"
"427",10,0,113,24,1.979,">43"
"428",10,0,44,7,1.305,"30-34"
"429",10,0,86,14,1.6,"35-39"
"430",10,0,32,2,1.095,"<30"
"431",11,0,123,22,1.895,">43"
"432",11,0,88,17,1.726,"40-43"
"433",11,0,153,23,1.937,">43"
"434",11,0,83,17,1.726,"40-43"
"435",11,0,112,21,1.853,">43"
"436",11,0,34,5,1.221,"<30"
"437",11,0,107,21,1.853,">43"
"438",11,0,56,10,1.432,"30-34"
"439",11,0,121,22,1.895,">43"
"440",11,0,53,9,1.389,"30-34"
"441",11,0,189,21,1.853,">43"
"442",11,0,75,15,1.642,"35-39"
